,strategy,CAGR,MDD,volatility,Sharpe,Sortino,Ulcer,UPI,Calmar,mean_weight,mean_cash,orders,turnover_pa,fee_sum,final_multiple,reversal_14d_count,reversal_14d_rate,recovery_max_days,recovery_mean_days,recovered_episodes,unrecovered_days,underwater_max_days,period
13,improved,0.7374508716,-0.3133080623,0.5076720657,1.345117712,1.94210912,0.1617852884,4.558207231,2.353756447,0.7217230743,0.2782769257,20,6.239840762,0.008849384024,2.188999004,5,0.2631578947,190,41.91666667,12,3,190,초기 관측 2015–2016
14,confirm2,0.7373895694,-0.3133080623,0.5072889023,1.345684244,1.942465266,0.1616714268,4.561038298,2.353560787,0.7224706525,0.2775293475,19,5.875500953,0.008332674862,2.188889471,5,0.2777777778,190,41.91666667,12,3,190,초기 관측 2015–2016
15,buffer1,0.8370423194,-0.3133080623,0.5078127899,1.454387341,2.122819886,0.1549556621,5.401818223,2.671627131,0.7708227048,0.2291772952,18,5.214938735,0.007395861095,2.369057305,3,0.1764705882,190,41.75,12,3,190,초기 관측 2015–2016
16,confirm2_buffer1,0.8520205422,-0.3133080623,0.5058462725,1.473990532,2.160466445,0.1555420729,5.477749696,2.719433825,0.7707985219,0.2292014781,18,5.224808592,0.007409858592,2.396497985,3,0.1764705882,190,41.66666667,12,3,190,초기 관측 2015–2016
17,weekly,0.7023995209,-0.3133080623,0.509594152,1.301973847,1.874141656,0.1639906641,4.283167731,2.241881412,0.7176700842,0.2823299158,17,5.923471971,0.008400707682,2.126634978,2,0.125,189,41.91666667,12,3,189,초기 관측 2015–2016
18,hybrid_score,0.7324756717,-0.3133080623,0.5076837257,1.339470064,1.929815914,0.164266305,4.459074377,2.337876869,0.7597652376,0.2402347624,37,6.960013885,0.009870738378,2.180114712,15,0.4166666667,190,41.91666667,12,3,190,초기 관측 2015–2016
19,hybrid_score_conservative,0.6910209359,-0.3133080623,0.5072429557,1.292360441,1.861620693,0.1697538932,4.070722166,2.205563849,0.733773959,0.266226041,33,8.025005304,0.01138111635,2.10650464,15,0.46875,190,42,12,3,190,초기 관측 2015–2016
20,buy_hold,1.388026731,-0.3133080623,0.5410539765,1.883124148,2.779952469,0.1349981555,10.28181997,4.430229855,1,0,1,0.7044114187,0.000999000999,3.436669008,0,0,169,27.16666667,18,3,169,초기 관측 2015–2016
21,weekly_price,0.8432952133,-0.3133080623,0.5290011381,1.423386781,2.077934703,0.1740919043,4.843965703,2.691584785,0.8108108108,0.1891891892,9,6.342520414,0.008995004995,2.380501514,4,0.5,190,38.53846154,13,3,190,초기 관측 2015–2016
22,monthly_10m,0.8377036985,-0.3133080623,0.5279282678,1.419408474,2.074414911,0.1445679483,5.794532664,2.673738085,0.8822393822,0.1177606178,3,2.113938668,0.002998001998,2.370267009,0,0,169,31.0625,16,3,169,초기 관측 2015–2016
23,weekly_price_vol,0.903111639,-0.2454700255,0.4165903709,1.754255807,2.662908906,0.130236031,6.934422311,3.679111685,0.6384883161,0.3615116839,45,6.681500674,0.009475749073,2.490795633,16,0.3636363636,184,35.42857143,14,3,184,초기 관측 2015–2016
24,original,1.042974879,-0.8221245546,0.7869773745,1.298580099,1.966158577,0.4429287036,2.354724069,1.268633656,0.7734574229,0.2265425771,9,3.203941779,0.0064034976,4.169666555,4,0.5,55,10.71428571,28,380,380,2017–2018 사이클
25,improved,1.824559009,-0.6295798235,0.7302604344,1.784245841,2.794323343,0.4094231648,4.456413721,2.898058262,0.628976237,0.371023763,14,3.055100933,0.006106019662,7.96680132,3,0.2307692308,55,10.71428571,28,380,380,2017–2018 사이클
26,confirm2,1.872559395,-0.612138489,0.7301905375,1.807480233,2.833878413,0.4006233639,4.674114303,3.059045345,0.6305698502,0.3694301498,13,2.75712763,0.005510480957,8.239686696,3,0.25,55,10.71428571,28,380,380,2017–2018 사이클
27,buffer1,1.831775787,-0.6139043347,0.7288354113,1.789820698,2.80395682,0.4056239897,4.515945393,2.983813086,0.6236368567,0.3763631433,10,1.973986152,0.003945270063,8.007535879,1,0.1111111111,55,10.71428571,28,380,380,2017–2018 사이클
